employee_id,position,experience_years,macro_domains,micro_domains,skill_PHP,skill_Python,skill_JavaScript,skill_TypeScript,skill_Go,skill_Rust,skill_C#,skill_C++,skill_Java,skill_Kotlin,skill_Swift,skill_Ruby,skill_Dart,skill_Lua,skill_R,skill_Laravel,skill_React,skill_Vue.js,skill_Next.js,skill_Nuxt.js,skill_Angular,skill_Svelte,skill_Django,skill_FastAPI,skill_Flask,skill_Spring Boot,skill_Ruby on Rails,skill_Express.js,skill_NestJS,skill_Flutter,skill_React Native,skill_Android (Native),skill_iOS (Native),skill_PostgreSQL,skill_MySQL,skill_SQLite,skill_MongoDB,skill_Redis,skill_Elasticsearch,skill_Firebase,skill_Supabase,skill_Pinecone,skill_Milvus,skill_ChromaDB,skill_Docker,skill_Kubernetes,skill_Git,skill_AWS,skill_Google Cloud,skill_Azure,skill_Cloudflare,skill_Terraform,skill_Nginx,skill_Linux,skill_MLflow,skill_Ollama,skill_Unity,skill_Unreal Engine,skill_Godot,skill_Figma,skill_Adobe XD,skill_Blender,skill_Photoshop,skill_PHPUnit,skill_Jest,skill_Cypress,skill_Selenium,skill_Pest,skill_TensorFlow,skill_PyTorch,skill_scikit-learn,skill_Pandas,skill_NumPy,skill_LangChain,skill_LlamaIndex,skill_Hugging Face,skill_Keras,skill_Strategic Leadership,skill_Business Development,skill_Financial Management,skill_Project Management,skill_Academic Research,skill_Partnership Management,skill_Digital Marketing,skill_Legal & Compliance,skill_REST APIs,skill_GraphQL,skill_gRPC,skill_WebSockets,skill_OpenAI API,skill_Anthropic API,skill_ElevenLabs API,skill_Hugging Face APIs,skill_Stripe API,skill_Twilio API,skill_OAuth / Auth0,availability_status,days_until_free,concurrent_tasks_count,daily_update_compliance_rate,individual_task_throughput
1,Technical Product Manager,9,"[1, 1, 0, 0, 0, 0, 0, 0]","Requirements Gathering & Business Analysis,Agile / Scrum Sprint Planning,Product Roadmap Architecture,Technical Documentation & PRDs",0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,Available,0,0,0.95,0.88
2,Business Analyst,7,"[1, 1, 0, 0, 0, 0, 0, 0]","Requirements Gathering & Business Analysis,Market Viability & User Research,Third-Party API Integrations (Stripe, Twilio),Portal & Dashboard Development",0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,2,0,5,5,0,4,0,0,0,0,0,0,0,4,3,3,Busy,3,1,0.9,0.95
3,Solutions Architect,10,"[0, 1, 0, 1, 0, 0, 0, 0]","Full-Stack Development,Microservices & API Architecture,CI/CD Pipeline Design,Multi-Tenant SaaS Architecture",0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,3,0,0,3,0,0,0,5,4,5,4,4,3,5,4,4,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,5,3,0,3,3,0,5,0,3,0,4,Available,0,0,0.98,0.82
4,Data Scientist,8,"[0, 0, 1, 0, 0, 0, 0, 0]","Machine Learning (Supervised & Unsupervised),Data Pipeline Engineering,Algorithm Evaluation & Benchmarking,LLM Fine-Tuning & Prompt Engineering",0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,2,2,2,0,3,0,0,0,0,0,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,5,4,5,5,5,3,0,4,4,2,0,5,2,2,0,0,3,3,0,0,0,0,0,0,0,0,0,0,Busy,5,2,0.93,0.91
5,Full Stack Developer,6,"[0, 1, 0, 1, 0, 0, 0, 0]","Full-Stack Development,Database Architecture,CI/CD Pipeline Design,Microservices & API Architecture",4,0,5,4,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,0,0,0,0,0,0,0,0,3,4,0,0,0,0,4,3,2,2,3,0,0,3,0,0,0,4,0,5,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,4,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,2,0,3,0,0,0,0,2,0,3,Busy,7,3,0.87,0.95
6,Backend Developer,5,"[0, 1, 0, 0, 0, 0, 0, 0]","Full-Stack Development,Microservices & API Architecture,Database Architecture,Real-Time Web (WebSockets)",4,3,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,4,3,2,2,3,0,0,2,0,0,0,3,0,4,2,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,2,3,3,0,0,0,0,0,0,2,Available,0,0,0.82,1.05
7,Frontend Developer,4,"[0, 1, 0, 0, 0, 1, 0, 0]","Portal & Dashboard Development,User Interface Design (Figma),UX Research & Wireframing,Real-Time Web (WebSockets)",0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,5,3,4,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,3,0,0,0,0,0,0,3,Busy,4,2,0.88,1.02
8,Mobile Developer,5,"[0, 0, 0, 0, 0, 0, 1, 0]","Flutter / React Native (Cross-Platform),Native Android (Kotlin),Offline-First Mobile Architecture,Native iOS (Swift/SwiftUI)",0,0,2,3,0,0,0,0,0,4,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,3,0,0,2,2,2,0,4,3,0,0,0,2,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,Available,0,0,0.85,0.97
9,Game Developer,3,"[0, 0, 0, 0, 0, 0, 0, 1]","Unity / Unreal / Godot Development,Game Physics & Netcode,Procedural Content Generation,Interactive 3D Environments",0,0,0,0,0,0,5,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,5,3,2,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Available,0,0,0.78,1.1
10,AI / ML Engineer,7,"[0, 0, 1, 1, 0, 0, 0, 0]","Machine Learning (Supervised & Unsupervised),LLM Fine-Tuning & Prompt Engineering,RAG (Retrieval-Augmented Generation),MLOps & Model Deployment",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,3,3,3,0,4,0,0,0,0,0,0,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,5,5,4,4,4,4,4,4,4,0,0,0,0,3,0,0,0,4,0,3,0,4,3,0,4,0,0,0,Busy,8,3,0.91,0.88
