assignment_id,employee_id,task_id,sprint_id,is_fit,completion_delay_days
1,5,1,1,1,7
2,60,1,1,1,5
3,44,1,1,1,0
4,30,2,1,1,7
5,2,2,1,1,6
6,62,3,1,0,17
7,4,3,1,1,2
8,91,4,1,1,0
9,69,4,1,1,4
10,79,5,1,1,4
11,69,5,1,1,2
12,22,6,1,1,2
13,71,6,1,1,0
14,9,6,1,0,13
15,36,6,1,1,6
16,19,7,1,1,0
17,20,7,1,1,1
18,98,7,1,1,2
19,11,8,1,0,16
20,31,9,1,1,-2
21,52,9,1,1,-2
22,14,10,1,0,16
23,19,10,1,1,5
24,87,10,1,0,30
25,39,10,1,1,3
26,34,11,1,1,1
27,89,12,1,0,12
28,100,13,1,1,5
29,11,14,1,1,5
30,30,14,1,1,5
31,77,15,1,0,11
32,39,16,1,1,-3
33,21,17,1,1,3
34,77,17,1,1,4
35,3,18,1,1,2
36,74,19,1,1,2
37,44,19,1,0,14
38,43,20,1,1,3
39,4,21,1,0,11
40,54,22,1,1,3
41,41,22,1,1,2
42,33,23,1,1,-1
43,17,24,1,1,-3
44,80,25,1,0,14
45,21,25,1,1,4
46,83,26,1,0,17
47,34,26,1,1,3
48,32,27,1,1,7
49,52,27,1,1,2
50,85,27,1,1,-1
51,84,28,1,0,8
52,2,29,1,1,1
53,60,29,1,0,28
54,44,30,1,1,5
55,97,30,1,1,5
56,83,30,1,1,-1
57,99,31,1,1,0
58,62,31,1,1,2
59,33,31,1,0,14
60,17,32,1,1,-1
61,62,33,1,0,10
62,82,33,1,0,17
63,5,33,1,1,6
64,62,34,1,0,8
65,97,35,1,0,24
66,39,35,1,1,7
67,97,36,1,1,-2
68,40,36,1,1,-2
69,24,37,1,1,0
70,49,37,1,1,-1
71,12,38,1,1,2
72,13,38,1,1,-1
73,71,38,1,0,23
74,83,38,1,1,7
75,12,39,1,1,2
76,39,40,1,1,0
77,60,41,1,1,-1
78,1,42,1,1,1
79,16,43,1,1,3
80,49,43,1,1,1
81,38,44,1,1,2
82,99,45,1,0,19
83,48,45,1,0,13
84,1,45,1,1,1
85,77,46,1,0,8
86,43,47,1,1,3
87,58,47,1,0,18
88,70,48,1,1,2
89,17,48,1,1,3
90,25,49,1,1,4
91,53,49,1,1,-1
92,68,50,1,0,21
93,73,50,1,0,14
94,3,51,1,1,-2
95,79,52,1,1,-2
96,78,53,1,1,0
97,15,53,1,0,9
98,96,54,1,0,20
99,46,54,1,0,23
100,67,54,1,0,17
101,2,54,1,1,0
102,10,55,1,1,6
103,97,55,1,1,2
104,28,56,1,1,2
105,92,57,1,0,27
